"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
1461,20,4,80,11622,2,2,4,4,1,5,1,13,2,3,1,3,5,6,1961,1961,2,1,12,14,3,1,4,5,2,5,5,4,6,468,4,144,270,882,1,5,2,4,896,0,0,896,0,0,1,0,2,1,5,5,8,0,4,2,1961,4,1,730,5,6,3,140,0,0,0,120,0,3,3,2,0,6,2010,10,5
1462,20,5,81,14267,2,2,1,4,1,1,1,13,3,3,1,3,6,6,1958,1958,4,1,13,15,2,59,4,5,2,5,5,4,1,923,7,0,406,1329,1,5,2,4,1329,0,0,1329,0,0,1,1,3,1,3,6,8,0,4,2,1958,4,1,312,5,6,3,393,36,0,0,0,0,3,5,1,12500,6,2010,10,5
1463,60,5,74,13830,2,2,1,4,1,5,1,9,3,3,1,5,5,5,1997,1998,2,1,12,14,3,1,4,5,3,3,5,4,3,791,7,0,137,928,1,3,2,4,928,701,0,1629,0,0,2,1,3,1,5,6,8,1,6,2,1997,1,2,482,5,6,3,212,34,0,0,0,0,3,3,2,0,3,2010,10,5
1464,60,5,78,9978,2,2,1,4,1,5,1,9,3,3,1,5,6,6,1998,1998,2,1,12,14,2,7,4,5,3,5,5,4,3,602,7,0,324,926,1,1,2,4,926,678,0,1604,0,0,2,1,3,1,3,7,8,1,3,2,1998,1,2,470,5,6,3,360,36,0,0,0,0,3,5,2,0,6,2010,10,5
1465,120,5,43,5005,2,2,1,2,1,5,1,22,3,3,5,3,8,5,1992,1992,2,1,7,7,3,1,3,5,3,3,5,4,1,263,7,0,1017,1280,1,1,2,4,1280,0,0,1280,0,0,2,0,2,1,3,5,8,0,4,2,1992,3,2,506,5,6,3,0,82,0,0,144,0,3,5,2,0,1,2010,10,5
1466,60,5,75,10000,2,2,1,4,1,1,1,9,3,3,1,5,6,5,1993,1994,2,1,7,7,3,1,4,5,3,3,5,4,7,0,7,0,763,763,1,3,2,4,763,892,0,1655,0,0,2,1,3,1,5,7,8,1,6,2,1993,1,2,440,5,6,3,157,84,0,0,0,0,3,5,2,0,4,2010,10,5
1467,20,5,0,7980,2,2,1,4,1,5,1,9,3,3,1,3,6,7,1992,2007,2,1,7,7,3,1,4,3,3,3,5,4,1,935,7,0,233,1168,1,1,2,4,1187,0,0,1187,1,0,2,0,3,1,5,6,8,0,4,2,1992,1,2,420,5,6,3,483,21,0,0,0,0,3,1,4,500,3,2010,10,5
1468,60,5,63,8402,2,2,1,4,1,5,1,9,3,3,1,5,6,5,1998,1998,2,1,12,14,3,1,4,5,3,3,5,4,7,0,7,0,789,789,1,3,2,4,789,676,0,1465,0,0,2,1,3,1,5,7,8,1,3,2,1998,1,2,393,5,6,3,0,75,0,0,0,0,3,5,2,0,5,2010,10,5
1469,20,5,85,10176,2,2,4,4,1,5,1,9,3,3,1,3,7,5,1990,1990,2,1,7,7,3,1,4,5,3,3,5,2,3,637,7,0,663,1300,1,3,2,4,1341,0,0,1341,1,0,1,1,2,1,3,5,8,1,5,2,1990,4,2,506,5,6,3,192,0,0,0,0,0,3,5,2,0,2,2010,10,5
1470,20,5,70,8400,2,2,4,4,1,1,1,13,3,3,1,3,4,5,1970,1970,2,1,10,11,3,1,4,5,2,5,5,4,1,804,6,78,0,882,1,5,2,4,882,0,0,882,1,0,1,0,2,1,5,4,8,0,4,2,1970,1,2,525,5,6,3,240,0,0,0,0,0,3,3,2,0,4,2010,10,5
1471,120,4,26,5858,2,2,1,4,1,3,1,13,3,3,5,3,7,5,1999,1999,2,1,8,9,3,1,3,5,3,3,5,4,3,1051,2,0,354,1405,1,1,2,4,1337,0,0,1337,1,0,2,0,2,1,3,5,8,1,2,2,1999,1,2,511,5,6,3,203,68,0,0,0,0,3,5,2,0,6,2010,10,5
1472,160,6,21,1680,2,2,4,4,1,5,1,3,3,3,4,5,6,5,1971,1971,2,1,7,7,2,252,4,5,2,5,5,4,6,156,7,0,327,483,1,5,2,4,483,504,0,987,0,0,1,1,2,1,5,5,8,0,4,6,1971,4,1,264,5,6,3,275,0,0,0,0,0,3,5,2,0,2,2010,1,5
1473,160,6,21,1680,2,2,4,4,1,5,1,3,3,3,4,5,5,5,1971,1971,2,1,7,7,2,247,4,5,2,5,5,4,6,300,7,0,225,525,1,5,2,4,525,567,0,1092,0,0,1,1,3,1,5,6,8,0,4,6,1997,4,1,320,5,6,3,0,0,0,0,0,0,3,5,2,0,3,2010,10,5
