"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,60,4,65,8450,2,2,4,4,1,5,1,6,3,3,1,6,7,5,2003,2003,2,2,13,14,2,129,3,5,3,3,5,4,3,7,856,2,1,2,6,1710,1,0,2,1,3,1,3,8,7,0,4,2,2003,3,2,548,6,6,3,0,61,0,0,0,0,4,5,2,0,2,2008,9,5,208500
2,20,4,80,9600,2,2,4,4,1,3,1,25,2,3,1,3,6,8,1976,1976,2,2,9,9,3,1,4,5,2,3,5,2,1,7,1262,2,1,2,6,1262,0,1,2,0,3,1,4,6,7,1,6,2,1976,3,2,460,6,6,3,298,0,0,0,0,0,4,5,2,0,5,2007,9,5,181500
3,60,4,68,11250,2,2,1,4,1,5,1,6,3,3,1,6,7,5,2001,2002,2,2,13,14,2,105,3,5,3,3,5,3,3,7,920,2,1,2,6,1786,1,0,2,1,3,1,3,6,7,1,6,2,2001,3,2,608,6,6,3,0,42,0,0,0,0,4,5,2,0,9,2008,9,5,223500
4,70,4,60,9550,2,2,1,4,1,1,1,7,3,3,1,6,7,5,1915,1970,2,2,14,16,3,1,4,5,1,5,2,4,1,7,756,2,3,2,6,1717,1,0,1,0,3,1,3,7,7,1,3,6,1998,4,3,642,6,6,3,0,35,272,0,0,0,4,5,2,0,2,2006,9,1,140000
5,60,4,84,14260,2,2,1,4,1,3,1,14,3,3,1,6,8,5,2000,2000,2,2,13,14,2,222,3,5,3,3,5,1,3,7,1145,2,1,2,6,2198,1,0,2,1,4,1,3,9,7,1,6,2,2000,3,3,836,6,6,3,192,84,0,0,0,0,4,5,2,0,12,2008,9,5,250000
6,50,4,85,14115,2,2,1,4,1,5,1,12,3,3,1,1,5,5,1993,1995,2,2,13,14,3,1,4,5,6,3,5,4,3,7,796,2,1,2,6,1362,1,0,1,1,1,1,4,5,7,0,4,2,1993,4,2,480,6,6,3,40,30,0,320,0,0,4,3,4,700,10,2009,9,5,143000
7,20,4,75,10084,2,2,4,4,1,5,1,21,3,3,1,3,8,5,2004,2005,2,2,13,14,4,124,3,5,3,1,5,1,3,7,1686,2,1,2,6,1694,1,0,2,0,3,1,3,7,7,1,3,2,2004,3,2,636,6,6,3,255,57,0,0,0,0,4,5,2,0,8,2007,9,5,307000
8,60,4,0,10382,2,2,1,4,1,1,1,17,5,3,1,6,7,6,1973,1973,2,2,7,7,4,158,4,5,2,3,5,3,1,2,1107,2,1,2,6,2090,1,0,2,1,3,1,4,7,7,2,6,2,1973,3,2,484,6,6,3,235,204,228,0,0,0,4,5,4,350,11,2009,9,5,200000
9,50,5,51,6120,2,2,4,4,1,5,1,18,1,3,1,1,7,5,1931,1950,2,2,4,16,3,1,4,5,1,5,5,4,7,7,952,2,3,2,2,1774,0,0,2,0,2,2,4,8,3,2,6,6,1931,4,2,468,2,6,3,90,0,205,0,0,0,4,5,2,0,4,2008,9,1,129900
10,190,4,50,7420,2,2,4,4,1,1,1,4,1,1,2,2,5,6,1939,1950,2,2,9,9,3,1,4,5,1,5,5,4,3,7,991,2,1,2,6,1077,1,0,1,0,2,2,4,5,7,2,6,2,1939,3,1,205,3,6,3,0,4,0,0,0,0,4,5,2,0,1,2008,9,5,118000
11,20,4,70,11200,2,2,4,4,1,5,1,19,3,3,1,3,5,5,1965,1965,4,2,7,7,3,1,4,5,2,5,5,4,6,7,1040,2,1,2,6,1040,1,0,1,0,3,1,4,5,7,0,4,6,1965,4,1,384,6,6,3,0,0,0,0,0,0,4,5,2,0,2,2008,9,5,129500
12,60,4,85,11924,2,2,1,4,1,5,1,16,3,3,1,6,9,5,2005,2006,4,2,15,16,4,187,1,5,3,1,5,4,3,7,1175,2,1,2,6,2324,1,0,3,0,4,1,1,11,7,2,3,4,2005,1,3,736,6,6,3,147,21,0,0,0,0,4,5,2,0,7,2006,7,6,345000
13,20,4,0,12968,2,2,2,4,1,5,1,19,3,3,1,3,5,6,1962,1962,4,2,7,11,3,1,4,5,2,5,5,4,1,7,912,2,5,2,6,912,1,0,1,0,2,1,4,4,7,0,4,6,1962,4,1,352,6,6,3,140,0,0,0,176,0,4,5,2,0,9,2008,9,5,144000
14,20,4,91,10652,2,2,1,4,1,5,1,6,3,3,1,3,7,5,2006,2007,2,2,13,14,4,204,3,5,3,3,5,1,7,7,1494,2,1,2,6,1494,0,0,2,0,3,1,3,7,7,1,3,2,2006,3,3,840,6,6,3,160,33,0,0,0,0,4,5,2,0,8,2007,7,6,279500
15,20,4,0,10920,2,2,1,4,1,1,1,13,3,3,1,3,6,5,1960,1960,4,2,9,9,2,140,4,5,2,5,5,4,2,7,1253,2,5,2,6,1253,1,0,1,1,2,1,4,5,7,1,2,2,1960,3,1,352,6,6,3,0,213,176,0,0,0,4,2,2,0,5,2008,9,5,157000
16,45,5,51,6120,2,2,4,4,1,1,1,4,3,3,1,2,7,8,1929,2001,2,2,14,15,3,1,4,5,1,5,5,4,7,7,832,2,1,2,1,854,0,0,1,0,2,1,4,5,7,0,4,6,1991,4,2,576,6,6,3,48,112,0,0,0,0,4,1,2,0,7,2007,9,5,132000
17,20,4,0,11241,2,2,1,4,1,2,1,13,3,3,1,3,6,7,1970,1970,2,2,14,15,2,120,4,5,2,5,5,4,1,7,1004,2,1,2,6,1004,1,0,1,0,2,1,4,5,7,1,6,2,1970,1,2,480,6,6,3,0,0,0,0,0,0,4,5,4,700,3,2010,9,5,149000
18,90,4,72,10791,2,2,4,4,1,5,1,19,3,3,3,3,4,5,1967,1967,2,2,9,9,3,1,4,5,4,4,3,5,5,5,0,2,5,2,6,1296,0,0,2,0,2,2,4,6,7,0,4,5,1967,4,2,516,6,6,3,0,0,0,0,0,0,4,5,4,500,10,2006,9,5,90000
19,20,4,66,13695,2,2,4,4,1,5,1,20,6,3,1,3,5,5,2004,2004,2,2,13,14,3,1,4,5,3,5,5,4,3,7,1114,2,1,2,6,1114,1,0,1,1,3,1,3,6,7,0,4,6,2004,4,2,576,6,6,3,0,102,0,0,0,0,4,5,2,0,6,2008,9,5,159000
20,20,4,70,7560,2,2,4,4,1,5,1,13,3,3,1,3,5,6,1958,1965,4,2,4,11,3,1,4,5,2,5,5,4,4,7,1029,2,5,2,6,1339,0,0,1,0,3,1,4,6,3,0,4,2,1958,4,1,294,6,6,3,0,0,0,0,0,0,4,3,2,0,5,2009,1,1,139000
21,60,4,101,14215,2,2,1,4,1,1,1,16,3,3,1,6,8,5,2005,2006,2,2,13,14,2,235,3,5,3,1,5,1,7,7,1158,2,1,2,6,2376,0,0,3,1,4,1,3,9,7,1,3,4,2005,3,3,853,6,6,3,240,154,0,0,0,0,4,5,2,0,11,2006,7,6,325300
22,45,5,57,7449,2,1,4,1,1,5,1,10,3,3,1,2,7,7,1930,1950,2,2,14,15,3,1,4,5,3,5,5,4,7,7,637,2,1,2,2,1108,0,0,1,0,3,1,3,6,7,1,3,2,1930,4,1,280,6,6,1,0,0,205,0,0,0,4,1,2,0,6,2007,9,5,139400
23,20,4,75,9742,2,2,4,4,1,5,1,6,3,3,1,3,8,5,2002,2002,4,2,13,14,2,184,3,5,3,3,5,4,7,7,1777,2,1,2,6,1795,0,0,2,0,3,1,3,7,7,1,3,2,2002,3,2,534,6,6,3,171,159,0,0,0,0,4,5,2,0,9,2008,9,5,230000
24,120,5,44,4224,2,2,4,4,1,5,1,11,3,3,5,3,5,7,1976,1976,2,2,6,6,3,1,4,5,3,3,5,4,3,7,1040,2,5,2,6,1060,1,0,1,0,3,1,4,6,7,1,6,2,1976,4,2,572,6,6,3,100,110,0,0,0,0,4,5,2,0,6,2007,9,5,129900
25,20,4,0,8246,2,2,1,4,1,5,1,19,3,3,1,3,5,8,1968,2001,2,2,10,11,3,1,4,3,2,5,5,3,6,1,1060,2,1,2,6,1060,1,0,1,0,3,1,3,6,7,1,6,2,1968,4,1,270,6,6,3,406,90,0,0,0,0,4,3,2,0,5,2010,9,5,154000
26,20,4,110,14230,2,2,4,4,1,1,1,16,3,3,1,3,8,5,2007,2007,2,2,13,14,4,297,3,5,3,3,5,4,7,7,1566,2,1,2,6,1600,0,0,2,0,3,1,3,7,7,1,3,2,2007,3,3,890,6,6,3,0,56,0,0,0,0,4,5,2,0,7,2009,9,5,256300
27,20,4,60,7200,2,2,4,4,1,1,1,13,3,3,1,3,5,7,1951,2000,2,2,14,15,3,1,4,5,2,5,5,3,2,6,900,2,5,2,6,900,0,1,1,0,3,1,3,5,7,0,4,6,2005,4,2,576,6,6,3,222,32,0,0,0,0,4,5,2,0,5,2010,9,5,134800
28,20,4,98,11478,2,2,4,4,1,5,1,16,3,3,1,3,8,5,2007,2008,2,2,13,14,4,130,3,5,3,1,5,4,3,7,1704,2,1,2,6,1704,1,0,2,0,3,1,3,7,7,1,3,2,2008,3,3,772,6,6,3,0,50,0,0,0,0,4,5,2,0,5,2010,9,5,306000
29,20,4,47,16321,2,2,1,4,1,2,1,13,3,3,1,3,5,6,1957,1997,2,2,9,9,3,1,4,5,2,5,5,2,2,7,1484,2,5,2,6,1600,1,0,1,0,2,1,4,6,7,2,3,2,1957,3,1,319,6,6,3,288,258,0,0,0,0,4,5,2,0,12,2006,9,5,207500
30,30,5,60,6324,2,2,1,4,1,5,1,4,2,8,1,3,4,6,1927,1950,2,2,9,9,3,1,4,5,1,5,5,4,7,7,520,2,2,1,6,520,0,0,1,0,1,1,2,4,7,0,4,6,1920,4,1,240,2,6,3,49,0,87,0,0,0,4,5,2,0,5,2008,9,5,68500
